# COMPUTER_NAME: 19W0LV1
# DATE_CODE: 18-Nov-2016_161215
# DIR_CODE: O:\Rmn\0_Wip\New\2_Data_processing\outils\traitement
# USER_NAME: j.lelouer
# VERSION: a5823bccd62df53d788c2446ed3c5e81614a564c
# NAME: PELVIS
# PATIENT_ID: CL1GV161104
"slice"	"region"	"num_pix"	"B1_RATIO_REG_T2_MAP"	"surface_mm2"	"volume_mm3"
1	"NOISE"	132	84.2662	258.72	2587.2
2	"NOISE"	303	113.794	593.88	5938.8
3	"NOISE"	238	99.3055	466.48	4664.8
4	"NOISE"	306	140.369	599.76	5997.6
5	"NOISE"	207	113.875	405.72	4057.2
6	"NOISE"	321	95.8265	629.16	6291.6
7	"NOISE"	362	89.3132	709.52	7095.2
8	"NOISE"	413	116.765	809.48	8094.8
9	"NOISE"	299	113.321	586.04	5860.4
1	"GMX_R"	355	80.6239	695.8	6958
2	"GMX_R"	403	82.7583	789.88	7898.8
3	"GMX_R"	533	83.4829	1044.68	10446.8
4	"GMX_R"	383	82.1648	750.68	7506.8
5	"GMX_R"	195	81.9675	382.2	3822
6	"GMX_R"	0	NaN	0	0
7	"GMX_R"	0	NaN	0	0
8	"GMX_R"	0	NaN	0	0
9	"GMX_R"	0	NaN	0	0
1	"GME_R"	0	NaN	0	0
2	"GME_R"	0	NaN	0	0
3	"GME_R"	225	75.3415	441	4410
4	"GME_R"	430	83.9423	842.8	8428
5	"GME_R"	450	83.4449	882	8820
6	"GME_R"	295	83.4571	578.2	5782
7	"GME_R"	49	79.2552	96.04	960.4
8	"GME_R"	0	NaN	0	0
9	"GME_R"	0	NaN	0	0
1	"GMI_R"	0	NaN	0	0
2	"GMI_R"	0	NaN	0	0
3	"GMI_R"	335	82.0913	656.6	6566
4	"GMI_R"	446	89.0428	874.16	8741.6
5	"GMI_R"	179	87.3666	350.84	3508.4
6	"GMI_R"	0	NaN	0	0
7	"GMI_R"	0	NaN	0	0
8	"GMI_R"	0	NaN	0	0
9	"GMI_R"	0	NaN	0	0
1	"PS_R"	0	NaN	0	0
2	"PS_R"	0	NaN	0	0
3	"PS_R"	0	NaN	0	0
4	"PS_R"	0	NaN	0	0
5	"PS_R"	0	NaN	0	0
6	"PS_R"	32	94.1758	62.72	627.2
7	"PS_R"	95	89.9706	186.2	1862
8	"PS_R"	42	87.1064	82.32	823.2
9	"PS_R"	25	78.0362	49	490
1	"ER_R"	0	NaN	0	0
2	"ER_R"	0	NaN	0	0
3	"ER_R"	0	NaN	0	0
4	"ER_R"	0	NaN	0	0
5	"ER_R"	50	91.7784	98	980
6	"ER_R"	235	95.7344	460.6	4606
7	"ER_R"	328	91.8265	642.88	6428.8
8	"ER_R"	398	84.1975	780.08	7800.8
9	"ER_R"	311	75.5837	609.56	6095.6
1	"GMX_L"	452	88.7275	885.92	8859.2
2	"GMX_L"	332	83.6608	650.72	6507.2
3	"GMX_L"	581	95.2651	1138.76	11387.6
4	"GMX_L"	448	80.5317	878.08	8780.8
5	"GMX_L"	207	73.2547	405.72	4057.2
6	"GMX_L"	0	NaN	0	0
7	"GMX_L"	0	NaN	0	0
8	"GMX_L"	0	NaN	0	0
9	"GMX_L"	0	NaN	0	0
1	"GME_L"	0	NaN	0	0
2	"GME_L"	0	NaN	0	0
3	"GME_L"	240	89.5194	470.4	4704
4	"GME_L"	257	89.8119	503.72	5037.2
5	"GME_L"	490	80.1318	960.4	9604
6	"GME_L"	426	75.5101	834.96	8349.6
7	"GME_L"	52	70.7521	101.92	1019.2
8	"GME_L"	0	NaN	0	0
9	"GME_L"	0	NaN	0	0
1	"GMI_L"	0	NaN	0	0
2	"GMI_L"	0	NaN	0	0
3	"GMI_L"	266	85.1223	521.36	5213.6
4	"GMI_L"	485	88.9365	950.6	9506
5	"GMI_L"	214	83.415	419.44	4194.4
6	"GMI_L"	0	NaN	0	0
7	"GMI_L"	0	NaN	0	0
8	"GMI_L"	0	NaN	0	0
9	"GMI_L"	0	NaN	0	0
1	"PS_L"	0	NaN	0	0
2	"PS_L"	0	NaN	0	0
3	"PS_L"	0	NaN	0	0
4	"PS_L"	0	NaN	0	0
5	"PS_L"	38	84.2533	74.48	744.8
6	"PS_L"	54	86.0245	105.84	1058.4
7	"PS_L"	78	81.4696	152.88	1528.8
8	"PS_L"	57	78.4612	111.72	1117.2
9	"PS_L"	26	69.6985	50.96	509.6
1	"ER_L"	0	NaN	0	0
2	"ER_L"	0	NaN	0	0
3	"ER_L"	0	NaN	0	0
4	"ER_L"	0	NaN	0	0
5	"ER_L"	23	87.4217	45.08	450.8
6	"ER_L"	152	84.7623	297.92	2979.2
7	"ER_L"	250	81.8795	490	4900
8	"ER_L"	284	73.686	556.64	5566.4
9	"ER_L"	190	66.4058	372.4	3724
1	"TFL_R"	93	64.2906	182.28	1822.8
2	"TFL_R"	68	75.3895	133.28	1332.8
3	"TFL_R"	27	75.1059	52.92	529.2
4	"TFL_R"	0	NaN	0	0
5	"TFL_R"	0	NaN	0	0
6	"TFL_R"	0	NaN	0	0
7	"TFL_R"	0	NaN	0	0
8	"TFL_R"	0	NaN	0	0
9	"TFL_R"	0	NaN	0	0
1	"TFL_L"	128	86.2555	250.88	2508.8
2	"TFL_L"	49	91.1864	96.04	960.4
3	"TFL_L"	27	96.2206	52.92	529.2
4	"TFL_L"	0	NaN	0	0
5	"TFL_L"	0	NaN	0	0
6	"TFL_L"	0	NaN	0	0
7	"TFL_L"	0	NaN	0	0
8	"TFL_L"	0	NaN	0	0
9	"TFL_L"	0	NaN	0	0
