# COMPUTER_NAME: 19W0LV1
# DATE_CODE: 18-Nov-2016_161215
# DIR_CODE: O:\Rmn\0_Wip\New\2_Data_processing\outils\traitement
# USER_NAME: j.lelouer
# VERSION: a5823bccd62df53d788c2446ed3c5e81614a564c
# NAME: LEG
# PATIENT_ID: CL1GV161104
"slice"	"region"	"num_pix"	"B1_RATIO_REG_T2_MAP"	"surface_mm2"	"volume_mm3"
1	"NOISE"	0	NaN	0	0
2	"NOISE"	0	NaN	0	0
3	"NOISE"	342	111.094	670.32	6703.2
4	"NOISE"	249	145.355	488.04	4880.4
5	"NOISE"	572	105.387	1121.12	11211.2
6	"NOISE"	474	123.101	929.04	9290.4
7	"NOISE"	321	132.808	629.16	6291.6
8	"NOISE"	0	NaN	0	0
9	"NOISE"	0	NaN	0	0
1	"TA_R"	0	NaN	0	0
2	"TA_R"	0	NaN	0	0
3	"TA_R"	197	76.5096	386.12	3861.2
4	"TA_R"	204	79.4985	399.84	3998.4
5	"TA_R"	218	79.0697	427.28	4272.8
6	"TA_R"	159	78.0448	311.64	3116.4
7	"TA_R"	84	75.4762	164.64	1646.4
8	"TA_R"	0	NaN	0	0
9	"TA_R"	0	NaN	0	0
1	"TP_R"	0	NaN	0	0
2	"TP_R"	0	NaN	0	0
3	"TP_R"	48	82.995	94.08	940.8
4	"TP_R"	57	87.1848	111.72	1117.2
5	"TP_R"	68	86.966	133.28	1332.8
6	"TP_R"	62	85.5473	121.52	1215.2
7	"TP_R"	92	81.2134	180.32	1803.2
8	"TP_R"	0	NaN	0	0
9	"TP_R"	0	NaN	0	0
1	"ED_R"	0	NaN	0	0
2	"ED_R"	0	NaN	0	0
3	"ED_R"	44	82.7148	86.24	862.4
4	"ED_R"	48	87.0888	94.08	940.8
5	"ED_R"	34	88.4779	66.64	666.4
6	"ED_R"	46	87.2807	90.16	901.6
7	"ED_R"	36	83.2903	70.56	705.6
8	"ED_R"	0	NaN	0	0
9	"ED_R"	0	NaN	0	0
1	"PER_R"	0	NaN	0	0
2	"PER_R"	0	NaN	0	0
3	"PER_R"	130	80.5047	254.8	2548
4	"PER_R"	150	82.5679	294	2940
5	"PER_R"	182	84.3424	356.72	3567.2
6	"PER_R"	168	85.6532	329.28	3292.8
7	"PER_R"	107	83.0826	209.72	2097.2
8	"PER_R"	0	NaN	0	0
9	"PER_R"	0	NaN	0	0
1	"SOL_R"	0	NaN	0	0
2	"SOL_R"	0	NaN	0	0
3	"SOL_R"	439	85.9025	860.44	8604.4
4	"SOL_R"	566	88.101	1109.36	11093.6
5	"SOL_R"	544	92.5325	1066.24	10662.4
6	"SOL_R"	453	95.4902	887.88	8878.8
7	"SOL_R"	339	93.3471	664.44	6644.4
8	"SOL_R"	0	NaN	0	0
9	"SOL_R"	0	NaN	0	0
1	"GAS_MED_R"	0	NaN	0	0
2	"GAS_MED_R"	0	NaN	0	0
3	"GAS_MED_R"	109	90.1273	213.64	2136.4
4	"GAS_MED_R"	377	93.4107	738.92	7389.2
5	"GAS_MED_R"	538	95.4102	1054.48	10544.8
6	"GAS_MED_R"	574	96.2429	1125.04	11250.4
7	"GAS_MED_R"	497	94.7047	974.12	9741.2
8	"GAS_MED_R"	0	NaN	0	0
9	"GAS_MED_R"	0	NaN	0	0
1	"GAS_LAT_R"	0	NaN	0	0
2	"GAS_LAT_R"	0	NaN	0	0
3	"GAS_LAT_R"	0	NaN	0	0
4	"GAS_LAT_R"	32	83.6541	62.72	627.2
5	"GAS_LAT_R"	128	86.9129	250.88	2508.8
6	"GAS_LAT_R"	230	89.5548	450.8	4508
7	"GAS_LAT_R"	229	89.9536	448.84	4488.4
8	"GAS_LAT_R"	0	NaN	0	0
9	"GAS_LAT_R"	0	NaN	0	0
1	"TA_L"	0	NaN	0	0
2	"TA_L"	0	NaN	0	0
3	"TA_L"	220	92.0498	431.2	4312
4	"TA_L"	251	95.2938	491.96	4919.6
5	"TA_L"	217	97.6427	425.32	4253.2
6	"TA_L"	190	95.992	372.4	3724
7	"TA_L"	110	93.5084	215.6	2156
8	"TA_L"	0	NaN	0	0
9	"TA_L"	0	NaN	0	0
1	"TP_L"	0	NaN	0	0
2	"TP_L"	0	NaN	0	0
3	"TP_L"	66	95.2724	129.36	1293.6
4	"TP_L"	73	100.474	143.08	1430.8
5	"TP_L"	64	104.213	125.44	1254.4
6	"TP_L"	71	104.39	139.16	1391.6
7	"TP_L"	37	102.109	72.52	725.2
8	"TP_L"	0	NaN	0	0
9	"TP_L"	0	NaN	0	0
1	"ED_L"	0	NaN	0	0
2	"ED_L"	0	NaN	0	0
3	"ED_L"	41	89.1548	80.36	803.6
4	"ED_L"	59	91.5932	115.64	1156.4
5	"ED_L"	60	93.6572	117.6	1176
6	"ED_L"	50	94.7477	98	980
7	"ED_L"	41	94.4845	80.36	803.6
8	"ED_L"	0	NaN	0	0
9	"ED_L"	0	NaN	0	0
1	"PER_L"	0	NaN	0	0
2	"PER_L"	0	NaN	0	0
3	"PER_L"	106	89.5026	207.76	2077.6
4	"PER_L"	133	92.5527	260.68	2606.8
5	"PER_L"	157	94.0411	307.72	3077.2
6	"PER_L"	190	94.897	372.4	3724
7	"PER_L"	160	92.5563	313.6	3136
8	"PER_L"	0	NaN	0	0
9	"PER_L"	0	NaN	0	0
1	"SOL_L"	0	NaN	0	0
2	"SOL_L"	0	NaN	0	0
3	"SOL_L"	528	85.303	1034.88	10348.8
4	"SOL_L"	550	93.1281	1078	10780
5	"SOL_L"	483	98.0933	946.68	9466.8
6	"SOL_L"	394	100.74	772.24	7722.4
7	"SOL_L"	267	98.5479	523.32	5233.2
8	"SOL_L"	0	NaN	0	0
9	"SOL_L"	0	NaN	0	0
1	"GAS_MED_L"	0	NaN	0	0
2	"GAS_MED_L"	0	NaN	0	0
3	"GAS_MED_L"	153	72.746	299.88	2998.8
4	"GAS_MED_L"	377	80.6193	738.92	7389.2
5	"GAS_MED_L"	515	85.4424	1009.4	10094
6	"GAS_MED_L"	556	88.1863	1089.76	10897.6
7	"GAS_MED_L"	524	86.5152	1027.04	10270.4
8	"GAS_MED_L"	0	NaN	0	0
9	"GAS_MED_L"	0	NaN	0	0
1	"GAS_LAT_L"	0	NaN	0	0
2	"GAS_LAT_L"	0	NaN	0	0
3	"GAS_LAT_L"	0	NaN	0	0
4	"GAS_LAT_L"	58	80.9741	113.68	1136.8
5	"GAS_LAT_L"	202	90.236	395.92	3959.2
6	"GAS_LAT_L"	277	95.9376	542.92	5429.2
7	"GAS_LAT_L"	289	94.0367	566.44	5664.4
8	"GAS_LAT_L"	0	NaN	0	0
9	"GAS_LAT_L"	0	NaN	0	0
