# COMPUTER_NAME: 19W0LV1
# DATE_CODE: 18-Nov-2016_161215
# DIR_CODE: O:\Rmn\0_Wip\New\2_Data_processing\outils\traitement
# USER_NAME: j.lelouer
# VERSION: a5823bccd62df53d788c2446ed3c5e81614a564c
# NAME: SHOULDER
# PATIENT_ID: CL1GV161104
"slice"	"region"	"num_pix"	"B1_RATIO_REG_T2_MAP"	"surface_mm2"	"volume_mm3"
1	"NOISE"	0	NaN	0	0
2	"NOISE"	0	NaN	0	0
3	"NOISE"	543	115.86	1171.37	11713.7
4	"NOISE"	390	120.975	841.318	8413.18
5	"NOISE"	284	87.6924	612.652	6126.52
6	"NOISE"	307	115.534	662.269	6622.69
7	"NOISE"	387	136.544	834.847	8348.47
8	"NOISE"	322	126.683	694.627	6946.27
9	"NOISE"	0	NaN	0	0
1	"DLT_R"	0	NaN	0	0
2	"DLT_R"	0	NaN	0	0
3	"DLT_R"	10	89.4045	21.5723	215.723
4	"DLT_R"	116	92.5486	250.238	2502.38
5	"DLT_R"	353	90.4777	761.501	7615.01
6	"DLT_R"	504	95.2564	1087.24	10872.4
7	"DLT_R"	152	100.188	327.898	3278.98
8	"DLT_R"	0	NaN	0	0
9	"DLT_R"	0	NaN	0	0
1	"ER_R"	0	NaN	0	0
2	"ER_R"	0	NaN	0	0
3	"ER_R"	96	77.8511	207.094	2070.94
4	"ER_R"	136	82.1547	293.383	2933.83
5	"ER_R"	107	86.3842	230.823	2308.23
6	"ER_R"	96	89.6856	207.094	2070.94
7	"ER_R"	144	91.5216	310.641	3106.41
8	"ER_R"	155	91.1816	334.37	3343.7
9	"ER_R"	0	NaN	0	0
1	"BB_R"	0	NaN	0	0
2	"BB_R"	0	NaN	0	0
3	"BB_R"	71	89.2402	153.163	1531.63
4	"BB_R"	44	90.0702	94.918	949.18
5	"BB_R"	33	88.7576	71.1885	711.885
6	"BB_R"	0	NaN	0	0
7	"BB_R"	0	NaN	0	0
8	"BB_R"	0	NaN	0	0
9	"BB_R"	0	NaN	0	0
1	"TB_R"	0	NaN	0	0
2	"TB_R"	0	NaN	0	0
3	"TB_R"	284	99.1998	612.652	6126.52
4	"TB_R"	148	99.7365	319.27	3192.7
5	"TB_R"	44	96.031	94.918	949.18
6	"TB_R"	10	87.883	21.5723	215.723
7	"TB_R"	0	NaN	0	0
8	"TB_R"	0	NaN	0	0
9	"TB_R"	0	NaN	0	0
1	"ISP_R"	0	NaN	0	0
2	"ISP_R"	0	NaN	0	0
3	"ISP_R"	0	NaN	0	0
4	"ISP_R"	0	NaN	0	0
5	"ISP_R"	0	NaN	0	0
6	"ISP_R"	65	100.41	140.22	1402.2
7	"ISP_R"	176	103.501	379.672	3796.72
8	"ISP_R"	0	NaN	0	0
9	"ISP_R"	0	NaN	0	0
1	"SBSC_R"	0	NaN	0	0
2	"SBSC_R"	0	NaN	0	0
3	"SBSC_R"	0	NaN	0	0
4	"SBSC_R"	0	NaN	0	0
5	"SBSC_R"	0	NaN	0	0
6	"SBSC_R"	129	95.837	278.282	2782.82
7	"SBSC_R"	326	100.437	703.256	7032.56
8	"SBSC_R"	0	NaN	0	0
9	"SBSC_R"	0	NaN	0	0
1	"PCT_R"	0	NaN	0	0
2	"PCT_R"	0	NaN	0	0
3	"PCT_R"	0	NaN	0	0
4	"PCT_R"	72	68.3461	155.32	1553.2
5	"PCT_R"	128	73.5266	276.125	2761.25
6	"PCT_R"	140	86.237	302.012	3020.12
7	"PCT_R"	0	NaN	0	0
8	"PCT_R"	0	NaN	0	0
9	"PCT_R"	0	NaN	0	0
1	"DLT_L"	0	NaN	0	0
2	"DLT_L"	0	NaN	0	0
3	"DLT_L"	25	82.2274	53.9307	539.307
4	"DLT_L"	114	84.8563	245.924	2459.24
5	"DLT_L"	368	90.8335	793.859	7938.59
6	"DLT_L"	581	95.6354	1253.35	12533.5
7	"DLT_L"	275	99.4421	593.237	5932.37
8	"DLT_L"	0	NaN	0	0
9	"DLT_L"	0	NaN	0	0
1	"ER_L"	0	NaN	0	0
2	"ER_L"	0	NaN	0	0
3	"ER_L"	71	74.6011	153.163	1531.63
4	"ER_L"	91	80.626	196.308	1963.08
5	"ER_L"	64	86.7845	138.063	1380.63
6	"ER_L"	67	91.7007	144.534	1445.34
7	"ER_L"	84	91.0811	181.207	1812.07
8	"ER_L"	54	91.3869	116.49	1164.9
9	"ER_L"	0	NaN	0	0
1	"BB_L"	0	NaN	0	0
2	"BB_L"	0	NaN	0	0
3	"BB_L"	80	71.8952	172.578	1725.78
4	"BB_L"	75	83.2545	161.792	1617.92
5	"BB_L"	79	87.8475	170.421	1704.21
6	"BB_L"	0	NaN	0	0
7	"BB_L"	0	NaN	0	0
8	"BB_L"	0	NaN	0	0
9	"BB_L"	0	NaN	0	0
1	"TB_L"	0	NaN	0	0
2	"TB_L"	0	NaN	0	0
3	"TB_L"	385	98.5857	830.532	8305.32
4	"TB_L"	233	99.5305	502.634	5026.34
5	"TB_L"	45	105.527	97.0752	970.752
6	"TB_L"	20	109.183	43.1445	431.445
7	"TB_L"	0	NaN	0	0
8	"TB_L"	0	NaN	0	0
9	"TB_L"	0	NaN	0	0
1	"ISP_L"	0	NaN	0	0
2	"ISP_L"	0	NaN	0	0
3	"ISP_L"	0	NaN	0	0
4	"ISP_L"	0	NaN	0	0
5	"ISP_L"	0	NaN	0	0
6	"ISP_L"	187	95.2676	403.401	4034.01
7	"ISP_L"	197	100.913	424.974	4249.74
8	"ISP_L"	0	NaN	0	0
9	"ISP_L"	0	NaN	0	0
1	"SBSC_L"	0	NaN	0	0
2	"SBSC_L"	0	NaN	0	0
3	"SBSC_L"	0	NaN	0	0
4	"SBSC_L"	0	NaN	0	0
5	"SBSC_L"	0	NaN	0	0
6	"SBSC_L"	147	94.6566	317.112	3171.12
7	"SBSC_L"	151	96.3497	325.741	3257.41
8	"SBSC_L"	0	NaN	0	0
9	"SBSC_L"	0	NaN	0	0
1	"PCT_L"	0	NaN	0	0
2	"PCT_L"	0	NaN	0	0
3	"PCT_L"	0	NaN	0	0
4	"PCT_L"	68	88.3234	146.691	1466.91
5	"PCT_L"	148	83.9363	319.27	3192.7
6	"PCT_L"	115	87.326	248.081	2480.81
7	"PCT_L"	0	NaN	0	0
8	"PCT_L"	0	NaN	0	0
9	"PCT_L"	0	NaN	0	0
