# COMPUTER_NAME: GH01LV1
# DATE_CODE: 26-Apr-2022_171818
# DIR_CODE: R:\Rmn\9_Nos_Docs\TransfertCT\jm-traitement
# USER_NAME: c.ty
# VERSION: a5823bccd62df53d788c2446ed3c5e81614a564c
# NAME: LEG
# PATIENT_ID: CL1VY220426
"slice"	"region"	"num_pix"	"B1_RATIO_REG_T2_MAP"	"surface_mm2"	"volume_mm3"
1	"NOISE"	1117	112.845	2189.32	21893.2
2	"NOISE"	1117	120.386	2189.32	21893.2
3	"NOISE"	1117	114.456	2189.32	21893.2
4	"NOISE"	1117	131.194	2189.32	21893.2
5	"NOISE"	1117	123.695	2189.32	21893.2
6	"NOISE"	1117	117.441	2189.32	21893.2
7	"NOISE"	1117	113.318	2189.32	21893.2
8	"NOISE"	1117	124.296	2189.32	21893.2
9	"NOISE"	1117	119.849	2189.32	21893.2
1	"TA_R"	0	NaN	0	0
2	"TA_R"	0	NaN	0	0
3	"TA_R"	271	75.3999	531.16	5311.6
4	"TA_R"	300	81.3943	588	5880
5	"TA_R"	205	77.4937	401.8	4018
6	"TA_R"	164	78.369	321.44	3214.4
7	"TA_R"	83	72.8219	162.68	1626.8
8	"TA_R"	0	NaN	0	0
9	"TA_R"	0	NaN	0	0
1	"TP_R"	0	NaN	0	0
2	"TP_R"	0	NaN	0	0
3	"TP_R"	69	87.8485	135.24	1352.4
4	"TP_R"	103	92.0434	201.88	2018.8
5	"TP_R"	106	90.9742	207.76	2077.6
6	"TP_R"	98	89.6233	192.08	1920.8
7	"TP_R"	57	81.0232	111.72	1117.2
8	"TP_R"	0	NaN	0	0
9	"TP_R"	0	NaN	0	0
1	"ED_R"	0	NaN	0	0
2	"ED_R"	0	NaN	0	0
3	"ED_R"	75	83.3749	147	1470
4	"ED_R"	96	90.5406	188.16	1881.6
5	"ED_R"	104	88.1501	203.84	2038.4
6	"ED_R"	73	88.0768	143.08	1430.8
7	"ED_R"	61	80.9317	119.56	1195.6
8	"ED_R"	0	NaN	0	0
9	"ED_R"	0	NaN	0	0
1	"PER_R"	0	NaN	0	0
2	"PER_R"	0	NaN	0	0
3	"PER_R"	196	80.8177	384.16	3841.6
4	"PER_R"	206	88.2767	403.76	4037.6
5	"PER_R"	234	87.7641	458.64	4586.4
6	"PER_R"	177	88.7682	346.92	3469.2
7	"PER_R"	139	83.5236	272.44	2724.4
8	"PER_R"	0	NaN	0	0
9	"PER_R"	0	NaN	0	0
1	"SOL_R"	0	NaN	0	0
2	"SOL_R"	0	NaN	0	0
3	"SOL_R"	609	90.14	1193.64	11936.4
4	"SOL_R"	707	96.4323	1385.72	13857.2
5	"SOL_R"	639	97.0929	1252.44	12524.4
6	"SOL_R"	398	100.505	780.08	7800.8
7	"SOL_R"	178	94.2412	348.88	3488.8
8	"SOL_R"	0	NaN	0	0
9	"SOL_R"	0	NaN	0	0
1	"GAS_MED_R"	0	NaN	0	0
2	"GAS_MED_R"	0	NaN	0	0
3	"GAS_MED_R"	439	99.9861	860.44	8604.4
4	"GAS_MED_R"	584	103.067	1144.64	11446.4
5	"GAS_MED_R"	778	101.468	1524.88	15248.8
6	"GAS_MED_R"	681	104.627	1334.76	13347.6
7	"GAS_MED_R"	600	103.28	1176	11760
8	"GAS_MED_R"	0	NaN	0	0
9	"GAS_MED_R"	0	NaN	0	0
1	"GAS_LAT_R"	0	NaN	0	0
2	"GAS_LAT_R"	0	NaN	0	0
3	"GAS_LAT_R"	43	83.8306	84.28	842.8
4	"GAS_LAT_R"	128	88.3054	250.88	2508.8
5	"GAS_LAT_R"	324	87.1213	635.04	6350.4
6	"GAS_LAT_R"	335	94.8706	656.6	6566
7	"GAS_LAT_R"	374	92.6195	733.04	7330.4
8	"GAS_LAT_R"	0	NaN	0	0
9	"GAS_LAT_R"	0	NaN	0	0
1	"TA_L"	0	NaN	0	0
2	"TA_L"	0	NaN	0	0
3	"TA_L"	275	104.575	539	5390
4	"TA_L"	278	109.703	544.88	5448.8
5	"TA_L"	245	108.477	480.2	4802
6	"TA_L"	223	106.674	437.08	4370.8
7	"TA_L"	124	102.501	243.04	2430.4
8	"TA_L"	0	NaN	0	0
9	"TA_L"	0	NaN	0	0
1	"TP_L"	0	NaN	0	0
2	"TP_L"	0	NaN	0	0
3	"TP_L"	106	107.503	207.76	2077.6
4	"TP_L"	122	114.081	239.12	2391.2
5	"TP_L"	127	116.844	248.92	2489.2
6	"TP_L"	88	116.765	172.48	1724.8
7	"TP_L"	67	110.362	131.32	1313.2
8	"TP_L"	0	NaN	0	0
9	"TP_L"	0	NaN	0	0
1	"ED_L"	0	NaN	0	0
2	"ED_L"	0	NaN	0	0
3	"ED_L"	81	99.4064	158.76	1587.6
4	"ED_L"	112	103.491	219.52	2195.2
5	"ED_L"	83	102.702	162.68	1626.8
6	"ED_L"	70	103.19	137.2	1372
7	"ED_L"	56	99.2765	109.76	1097.6
8	"ED_L"	0	NaN	0	0
9	"ED_L"	0	NaN	0	0
1	"PER_L"	0	NaN	0	0
2	"PER_L"	0	NaN	0	0
3	"PER_L"	187	99.6785	366.52	3665.2
4	"PER_L"	238	104.571	466.48	4664.8
5	"PER_L"	250	103.02	490	4900
6	"PER_L"	201	104.559	393.96	3939.6
7	"PER_L"	108	100.135	211.68	2116.8
8	"PER_L"	0	NaN	0	0
9	"PER_L"	0	NaN	0	0
1	"SOL_L"	0	NaN	0	0
2	"SOL_L"	0	NaN	0	0
3	"SOL_L"	704	97.5747	1379.84	13798.4
4	"SOL_L"	735	105.583	1440.6	14406
5	"SOL_L"	655	107.782	1283.8	12838
6	"SOL_L"	667	110.423	1307.32	13073.2
7	"SOL_L"	293	107.906	574.28	5742.8
8	"SOL_L"	0	NaN	0	0
9	"SOL_L"	0	NaN	0	0
1	"GAS_MED_L"	0	NaN	0	0
2	"GAS_MED_L"	0	NaN	0	0
3	"GAS_MED_L"	324	78.0071	635.04	6350.4
4	"GAS_MED_L"	534	89.0395	1046.64	10466.4
5	"GAS_MED_L"	712	91.8618	1395.52	13955.2
6	"GAS_MED_L"	687	96.2993	1346.52	13465.2
7	"GAS_MED_L"	662	94.6936	1297.52	12975.2
8	"GAS_MED_L"	0	NaN	0	0
9	"GAS_MED_L"	0	NaN	0	0
1	"GAS_LAT_L"	0	NaN	0	0
2	"GAS_LAT_L"	0	NaN	0	0
3	"GAS_LAT_L"	0	NaN	0	0
4	"GAS_LAT_L"	88	97.6292	172.48	1724.8
5	"GAS_LAT_L"	347	95.593	680.12	6801.2
6	"GAS_LAT_L"	454	101.533	889.84	8898.4
7	"GAS_LAT_L"	330	102.248	646.8	6468
8	"GAS_LAT_L"	0	NaN	0	0
