# COMPUTER_NAME: GH01LV1
# DATE_CODE: 26-Apr-2022_171818
# DIR_CODE: R:\Rmn\9_Nos_Docs\TransfertCT\jm-traitement
# USER_NAME: c.ty
# VERSION: a5823bccd62df53d788c2446ed3c5e81614a564c
# NAME: THIGH
# PATIENT_ID: CL1VY220426
"slice"	"region"	"num_pix"	"B1_RATIO_REG_T2_MAP"	"surface_mm2"	"volume_mm3"
1	"NOISE"	885	101.894	1734.6	17346
2	"NOISE"	885	127.924	1734.6	17346
3	"NOISE"	885	121.981	1734.6	17346
4	"NOISE"	885	112.111	1734.6	17346
5	"NOISE"	885	121.036	1734.6	17346
6	"NOISE"	885	104.686	1734.6	17346
7	"NOISE"	885	102.125	1734.6	17346
8	"NOISE"	885	77.3893	1734.6	17346
9	"NOISE"	885	103.028	1734.6	17346
1	"VL_R"	0	NaN	0	0
2	"VL_R"	0	NaN	0	0
3	"VL_R"	298	88.5377	584.08	5840.8
4	"VL_R"	430	94.9962	842.8	8428
5	"VL_R"	602	95.0445	1179.92	11799.2
6	"VL_R"	715	97.1317	1401.4	14014
7	"VL_R"	466	94.5463	913.36	9133.6
8	"VL_R"	0	NaN	0	0
9	"VL_R"	0	NaN	0	0
1	"VI_R"	0	NaN	0	0
2	"VI_R"	0	NaN	0	0
3	"VI_R"	353	85.5102	691.88	6918.8
4	"VI_R"	431	92.2434	844.76	8447.6
5	"VI_R"	417	93.2929	817.32	8173.2
6	"VI_R"	474	96.9941	929.04	9290.4
7	"VI_R"	659	96.7305	1291.64	12916.4
8	"VI_R"	0	NaN	0	0
9	"VI_R"	0	NaN	0	0
1	"VM_R"	0	NaN	0	0
2	"VM_R"	0	NaN	0	0
3	"VM_R"	838	83.6735	1642.48	16424.8
4	"VM_R"	574	88.6942	1125.04	11250.4
5	"VM_R"	400	91.7746	784	7840
6	"VM_R"	278	98.5498	544.88	5448.8
7	"VM_R"	172	97.0812	337.12	3371.2
8	"VM_R"	0	NaN	0	0
9	"VM_R"	0	NaN	0	0
1	"RF_R"	0	NaN	0	0
2	"RF_R"	0	NaN	0	0
3	"RF_R"	54	70.6728	105.84	1058.4
4	"RF_R"	77	71.6151	150.92	1509.2
5	"RF_R"	263	69.424	515.48	5154.8
6	"RF_R"	294	74.1333	576.24	5762.4
7	"RF_R"	380	71.3269	744.8	7448
8	"RF_R"	0	NaN	0	0
9	"RF_R"	0	NaN	0	0
1	"SAR_R"	0	NaN	0	0
2	"SAR_R"	0	NaN	0	0
3	"SAR_R"	68	94.5811	133.28	1332.8
4	"SAR_R"	80	93.9097	156.8	1568
5	"SAR_R"	75	85.6811	147	1470
6	"SAR_R"	70	79.2994	137.2	1372
7	"SAR_R"	51	69.752	99.96	999.6
8	"SAR_R"	0	NaN	0	0
9	"SAR_R"	0	NaN	0	0
1	"GRA_R"	0	NaN	0	0
2	"GRA_R"	0	NaN	0	0
3	"GRA_R"	40	110.204	78.4	784
4	"GRA_R"	39	112.097	76.44	764.4
5	"GRA_R"	42	110.828	82.32	823.2
6	"GRA_R"	51	106.894	99.96	999.6
7	"GRA_R"	35	102.92	68.6	686
8	"GRA_R"	0	NaN	0	0
9	"GRA_R"	0	NaN	0	0
1	"SM_R"	0	NaN	0	0
2	"SM_R"	0	NaN	0	0
3	"SM_R"	379	116.6	742.84	7428.4
4	"SM_R"	322	120.605	631.12	6311.2
5	"SM_R"	172	122.865	337.12	3371.2
6	"SM_R"	51	126.041	99.96	999.6
7	"SM_R"	24	125.784	47.04	470.4
8	"SM_R"	0	NaN	0	0
9	"SM_R"	0	NaN	0	0
1	"ST_R"	0	NaN	0	0
2	"ST_R"	0	NaN	0	0
3	"ST_R"	160	106.867	313.6	3136
4	"ST_R"	194	112.05	380.24	3802.4
5	"ST_R"	176	112.885	344.96	3449.6
6	"ST_R"	267	116.855	523.32	5233.2
7	"ST_R"	257	116.697	503.72	5037.2
8	"ST_R"	0	NaN	0	0
